LLM,Task,Technique,Filename,Compiles,Runs,Output,CrystalBLEU
deepseek,addition,self_improvement,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,self_improvement,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,self_improvement,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,self_improvement,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,self_improvement,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,convolution,decoding,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,decoding,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,decoding,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,decoding,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,decoding,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,prompting,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,prompting,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,prompting,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,prompting,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,prompting,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,rag,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,rag,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,rag,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,rag,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,rag,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,self_improvement,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,self_improvement,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,self_improvement,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,self_improvement,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,convolution,self_improvement,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,dot_product,decoding,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,decoding,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,decoding,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,decoding,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,decoding,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,prompting,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,prompting,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,prompting,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,prompting,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,prompting,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,rag,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,rag,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,rag,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,rag,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,rag,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,self_improvement,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,self_improvement,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,self_improvement,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,self_improvement,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,dot_product,self_improvement,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,matrix_multiplication,decoding,sample1.cpp,NO,NO,codes/deepseek/matrix_multiplication/decoding/sample1.cpp:64:5: error: use of undeclared identifier 'print_parameters'     print_parameters(context);     ^ 1 error generated. ,Score: NA
deepseek,matrix_multiplication,decoding,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,decoding,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,decoding,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,decoding,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,prompting,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,prompting,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,prompting,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,prompting,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,prompting,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,rag,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,rag,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,rag,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,rag,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,rag,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,self_improvement,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,self_improvement,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,self_improvement,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,self_improvement,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,matrix_multiplication,self_improvement,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: NA
deepseek,multiplication,decoding,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,decoding,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,decoding,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,decoding,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,decoding,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,prompting,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,prompting,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,prompting,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,prompting,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,prompting,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,rag,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,rag,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,rag,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,rag,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,rag,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,self_improvement,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,self_improvement,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,self_improvement,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,self_improvement,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,multiplication,self_improvement,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
gpt4,addition,decoding,sample1.cpp,YES,YES,Decrypted result: 4 ,Score: 16.3
gpt4,addition,decoding,sample2.cpp,YES,YES,Decrypted result: 4 ,Score: 16.3
gpt4,addition,decoding,sample3.cpp,YES,YES,Sum: 13 ,Score: 14.01
gpt4,addition,decoding,sample4.cpp,YES,YES,Sum: 13 ,Score: 14.01
gpt4,addition,decoding,sample5.cpp,NO,NO,"codes/gpt4/addition/decoding/sample5.cpp:14:35: error: no member named 'public_key' in 'seal::KeyGenerator'     Encryptor enc(context, keygen.public_key());                            ~~~~~~ ^ 1 error generated. ",Score: 16.79
gpt4,addition,prompting,sample1.cpp,YES,YES,✅ SEAL context created. ✅ Encryption complete. ✅ Homomorphic addition done. ✅ Decrypted result: 6 ,Score: 25.43
gpt4,addition,prompting,sample2.cpp,YES,YES,Decrypted result: 15 ,Score: 21.71
gpt4,addition,prompting,sample3.cpp,YES,YES,Decrypted result: 3.3 ,Score: 20.88
gpt4,addition,prompting,sample4.cpp,YES,YES,Decrypted result: 100 ,Score: 20.88
gpt4,addition,prompting,sample5.cpp,YES,YES,Decrypted result: 10 ,Score: 20.88
gpt4,addition,rag,sample1.cpp,YES,YES,Decrypted result: 4 ,Score: 25.66
gpt4,addition,rag,sample2.cpp,NO,NO,codes/gpt4/addition/rag/sample2.cpp:1:1: warning: empty character constant [-Winvalid-pp-token] '''Using context parameters from documentation''' ^ codes/gpt4/addition/rag/sample2.cpp:1:1: error: expected unqualified-id codes/gpt4/addition/rag/sample2.cpp:1:48: warning: empty character constant [-Winvalid-pp-token] '''Using context parameters from documentation'''                                                ^ 2 warnings and 1 error generated. ,Score: 18.57
gpt4,addition,rag,sample3.cpp,YES,YES,CKKS addition: 3.3 ,Score: 19.29
gpt4,addition,rag,sample4.cpp,YES,YES,Decoded RAG Sum: 123 ,Score: 22.06
gpt4,addition,rag,sample5.cpp,YES,YES,Decoded RAG Sum: 123 ,Score: 22.06
gpt4,addition,self_improvement,sample1.cpp,YES,YES,Decrypted sum: 40 60 2.77986e-09 -4.34726e-10 -2.15262e-09 ... (truncated) ,Score: 20.47
gpt4,addition,self_improvement,sample2.cpp,YES,YES,Result: 12 ,Score: 17.14
gpt4,addition,self_improvement,sample3.cpp,YES,YES,Sum: 6 ⏱️ Time taken: 0.031838s ,Score: 15.87
gpt4,addition,self_improvement,sample4.cpp,YES,YES,Encrypted sum: 9.9 ,Score: 14.72
gpt4,addition,self_improvement,sample5.cpp,YES,YES,[🔐] Initializing SEAL context... [🛠️ ] Generating keys... [📦] Encoding and encrypting inputs... [➕] Evaluating addition... [✅] Final decrypted result: 50 ,Score: 13.07
