LLM,Task,Technique,Filename,Compiles,Runs,Output
gpt4,matrix_multiplication,decoding,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,prompting,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,prompting,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,prompting,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,prompting,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,prompting,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,rag,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,rag,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,rag,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,rag,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,rag,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,self_improvement,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,self_improvement,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,self_improvement,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,self_improvement,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,self_improvement,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,decoding,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,decoding,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,decoding,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,decoding,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,decoding,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,prompting,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,prompting,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,prompting,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,prompting,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,prompting,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,rag,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,rag,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,rag,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,rag,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,rag,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,self_improvement,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,self_improvement,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,self_improvement,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,self_improvement,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,multiplication,self_improvement,sample5.cpp,NO,NO,COMPILATION_FAILED
