LLM,Task,Technique,Filename,Compiles,Runs,Output
deepseek,convolution,decoding,sample1.cpp,YES,YES,"Setting up CKKS environment... Parameters validation: valid Number of slots: 4096 Encoding and encrypting data... Perfor"
deepseek,convolution,decoding,sample2.cpp,YES,NO,"Error: values_size is too large"
deepseek,convolution,decoding,sample3.cpp,YES,YES,"CKKS Convolution via Rotation Slots available: 4096 Expected: 0.5 1.25 2.125 3.0625 1.5 0.6875 0.25 Actual: 0.5 0.5 0.37"
deepseek,convolution,decoding,sample4.cpp,YES,YES,"Batch CKKS Convolution First 7 expected vs actual: 0.5, 1.25, 2.125, 3.0625, 1.5, 0.6875, 0.25 0.5, 0.5, 0.375, 0.25, 3."
deepseek,convolution,decoding,sample5.cpp,YES,YES,"Optimized CKKS Convolution Convolution result (first 7): 0.5 0.5 0.375 0.25 -2.64311e-12 -4.35034e-13 5.31146e-13 "
deepseek,convolution,prompting,sample1.cpp,YES,YES,"Performing convolution... Done. First few result values: 0.499998 0.499999 0.375001 0.25 -1.19895e-07 "
deepseek,convolution,prompting,sample2.cpp,YES,YES,"Convolution result: 0.5 2 1.5 -1.18275e-06 -6.77111e-07 5.38134e-06 "
deepseek,convolution,prompting,sample3.cpp,YES,YES,"Convolution results: Kernel 0: 0.5 1 1.5 2 Kernel 1: 1 -2 3 -4 "
deepseek,convolution,prompting,sample4.cpp,YES,YES,"Depthwise convolution result: 0.500001 0.999999 1.5 2 "
deepseek,convolution,prompting,sample5.cpp,YES,YES,"Strided convolution result: 0.499779 3.74678e-05 3.8906e-06 -3.36413e-06 2.61501e-06 -1.69551e-06 -1.17366e-05 -1.25878e"
deepseek,convolution,rag,sample1.cpp,YES,YES,"Testing Graph-RAG system: Generated response based on nodes: Generated response based on nodes: Generated response based"
deepseek,convolution,rag,sample2.cpp,YES,YES,"Decrypted embedding: 0.1 0.2 0.3 "
deepseek,convolution,rag,sample3.cpp,YES,YES,"Memory-Efficient Graph-RAG with SEAL CKKS Graph-RAG Parameters: - Polynomial modulus degree: 4096 - Scale: 1.04858e+06 -"
deepseek,convolution,rag,sample4.cpp,YES,NO,"libc++abi: terminating due to uncaught exception of type std::invalid_argument: scale mismatch"
deepseek,convolution,rag,sample5.cpp,YES,YES,"Noise-managed graph attention initialized successfully! "
deepseek,convolution,self_improvement,sample1.cpp,YES,YES,"Convolution result: 0.5 1 -5.82671e-10 "
deepseek,convolution,self_improvement,sample2.cpp,YES,YES,"Batch convolution result: 1.5 1 -6.68991e-08 -5.957e-08 "
deepseek,convolution,self_improvement,sample3.cpp,YES,YES,"Number of slots: 4096 Using 8 threads for parallel initialization === Parallel Initialization === Memory before initiali"
deepseek,convolution,self_improvement,sample4.cpp,YES,YES,"Memory usage at after context creation: 8912896 KB Memory usage at before processing: 13778944 KB Processing chunk from "
deepseek,convolution,self_improvement,sample5.cpp,YES,NO,"libc++abi: terminating due to uncaught exception of type std::invalid_argument: encryption parameters are not set correctly"
deepseek,dot_product,decoding,sample1.cpp,YES,YES,"Encryption parameters: scheme: CKKS poly_modulus_degree: 8192 coeff_modulus size: 200 bits scale: 60 bits Dot product at"
deepseek,dot_product,decoding,sample2.cpp,YES,YES,"Encryption parameters: scheme: CKKS poly_modulus_degree: 8192 coeff_modulus size: 200 bits scale: 60 bits Result of vect"
deepseek,dot_product,decoding,sample3.cpp,NO,NO,"2 errors generated."
deepseek,dot_product,decoding,sample4.cpp,YES,YES,"Encryption parameters: scheme: CKKS poly_modulus_degree: 8192 coeff_modulus size: 200 bits scale: 60 bits Dot product at"
deepseek,dot_product,decoding,sample5.cpp,YES,YES,"Encryption parameters: scheme: CKKS poly_modulus_degree: 8192 coeff_modulus size: 200 bits scale: 60 bits Result of vect"
deepseek,dot_product,prompting,sample1.cpp,YES,YES,"CKKS Dot Product Example using Microsoft SEAL Parameter set: scheme: CKKS poly_modulus_degree: 8192 coeff_modulus size: "
deepseek,dot_product,prompting,sample2.cpp,YES,YES,"Dot product result: 40 "
deepseek,dot_product,prompting,sample3.cpp,YES,NO,"Error in run(): scale mismatch"
deepseek,dot_product,prompting,sample4.cpp,YES,NO,"Could not open vectors.txt"
deepseek,dot_product,prompting,sample5.cpp,YES,YES,"Secure dot product result: 40 "
deepseek,dot_product,rag,sample1.cpp,YES,YES,"RAG-optimized Result: 25.51 (Expected: 25.51) Absolute Error: 8.91744e-09 "
deepseek,dot_product,rag,sample2.cpp,YES,NO,"Error: scale out of bounds"
deepseek,dot_product,rag,sample3.cpp,YES,YES,"A* Path: 1 2 3 4 Hierarchical Path: 1 2 2 3 4 4 "
deepseek,dot_product,rag,sample4.cpp,YES,YES,"Top 2 results: A B Encrypted search completed "
deepseek,dot_product,rag,sample5.cpp,YES,YES,"Initializing GraphEmbeddingGenerator... Generating encrypted embeddings... Generated 5 encrypted embeddings Noise budget"
deepseek,dot_product,self_improvement,sample1.cpp,NO,NO,"3 errors generated."
deepseek,dot_product,self_improvement,sample2.cpp,YES,YES,"Dot product result: 5625 Current profile: Batch threshold: 600 Parallel threshold: 2000 Last improved: 1.74485e+09 "
deepseek,dot_product,self_improvement,sample3.cpp,YES,YES,"Current parameters: Poly modulus degree: 8192 Scale: 1.07374e+09 Modulus chain count: 3 [After encryption] Scale: 1.0737"
deepseek,dot_product,self_improvement,sample4.cpp,YES,YES,"Current configuration: Optimal threads: 8 Optimal chunk size: 512 Slot capacity: 4096 Performance update: Chunk size: 51"
deepseek,dot_product,self_improvement,sample5.cpp,YES,YES,"Initializing vectors... Using hardware profile: Mobile/Low-End (Threads: 2, Chunk: 1024) Using hardware profile: Mobile/"
deepseek,matrix_multiplication,decoding,sample1.cpp,YES,YES,"Parameters: - Scheme: CKKS - Poly modulus degree: 8192 - Coeff modulus size: 4 Matrix 1: [1, 2, 3, 4] [5, 6, 7, 8] [9, 1"
deepseek,matrix_multiplication,decoding,sample2.cpp,YES,YES,"Matrix multiplication using CKKS Matrix size: 4x4 Poly modulus degree: 8192 Slot count: 4096 Matrix A: [ 7.82637e-06 0.1"
deepseek,matrix_multiplication,decoding,sample3.cpp,YES,YES,"Plaintext matrix A: [ 1 2 3 ] [ 4 5 6 ] Plaintext matrix B: [ 7 8 ] [ 9 10 ] [ 11 12 ] Plaintext result: [ 58 64 ] [ 139"
deepseek,matrix_multiplication,decoding,sample4.cpp,YES,YES,"Setting up CKKS parameters... Generating keys... Matrix 1: [1, 2, 3, 4] [5, 6, 7, 8] [9, 10, 11, 12] [13, 14, 15, 16] Ma"
deepseek,matrix_multiplication,decoding,sample5.cpp,YES,YES,"Plaintext matrix A: [ 1 2 3 ] [ 4 5 6 ] Plaintext matrix B: [ 7 8 ] [ 9 10 ] [ 11 12 ] Plaintext result: [ 58 64 ] [ 139"
deepseek,matrix_multiplication,prompting,sample1.cpp,YES,YES,"Decrypted result (Hadamard product): 5 12 21 32 "
deepseek,matrix_multiplication,prompting,sample2.cpp,YES,YES,"Number of slots: 4096 Matrix A: 1	2	3	4	 5	6	7	8	 9	10	11	12	 13	14	15	16	 Matrix B: 16	15	14	13	 12	11	10	9	 8	7	6	5	 4"
deepseek,matrix_multiplication,prompting,sample3.cpp,YES,YES,"Encryption parameters: Scheme: CKKS Poly modulus degree: 8192 Coeff modulus size: 200 bits Encrypted A at chain index: 2"
deepseek,matrix_multiplication,prompting,sample4.cpp,YES,YES,"Decrypted Result Matrix: 36 86 32 70 "
deepseek,matrix_multiplication,prompting,sample5.cpp,YES,YES," / Encryption parameters: | scheme: CKKS | poly_modulus_degree: 8192 | coeff_modulus size: 120 bits [MEM] Before encrypt"
deepseek,matrix_multiplication,rag,sample1.cpp,YES,YES," CKKS Parameters: - poly_modulus_degree: 8192 - coeff_modulus sizes (bits): 60 40 40 60 - slot_count: 4096 Matrix 1: [ 1"
deepseek,matrix_multiplication,rag,sample2.cpp,YES,YES,"Matrix A: [ 1 2 ] [ 3 4 ] Matrix B: [ 2 0 ] [ 1 2 ] Number of slots: 4096 Result of homomorphic matrix multiplication: ["
deepseek,matrix_multiplication,rag,sample3.cpp,YES,YES,"Encryption parameters: - poly_modulus_degree: 8192 - coeff_modulus: 60 40 40 60 bits Matrix A: [ 1 2 3 4 ] [ 5 6 7 8 ] ["
deepseek,matrix_multiplication,rag,sample4.cpp,YES,YES,"Encryption parameters: - poly_modulus_degree: 8192 - coeff_modulus size: 60 40 40 bits Number of CKKS slots available: 4"
deepseek,matrix_multiplication,rag,sample5.cpp,YES,YES," CKKS Parameters: - poly_modulus_degree: 8192 - coeff_modulus sizes: 60 40 40 60 bits - slots: 4096 Matrix A: [7.82637e-"
deepseek,matrix_multiplication,self_improvement,sample1.cpp,YES,YES,"Original Attributes: 7 6.5 8.2 Improved Attributes: 11 10.25 12.8 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0."
deepseek,matrix_multiplication,self_improvement,sample2.cpp,YES,YES,"Encryption parameters: Scheme: CKKS Poly modulus degree: 8192 Coeff modulus size: 60 40 40 60 (200 bits) First 10 transf"
deepseek,matrix_multiplication,self_improvement,sample3.cpp,YES,NO,"libc++abi: terminating due to uncaught exception of type std::logic_error: unsupported scheme"
deepseek,matrix_multiplication,self_improvement,sample4.cpp,YES,YES,"Persona 0: Vector: 45 48 65 68 68 10 84 22 37 88 Encrypted: 5e552236217e1f735c2b Evaluation Score: 535 Persona 1: Vector"
deepseek,matrix_multiplication,self_improvement,sample5.cpp,YES,YES,"Encryption parameters: Scheme: CKKS Poly modulus degree: 8192 Coeff modulus size: 60 40 40 60 (200 bits) First 10 transf"
deepseek,multiplication,decoding,sample1.cpp,YES,YES,"Number of slots: 4096 First 10 result values: 5.00101e-07 0.01 0.0200001 0.0300004 0.0399996 0.05 0.0599997 0.070001 0.0"
deepseek,multiplication,decoding,sample2.cpp,YES,YES,"Total slots available: 8192 Can process 81 matrices simultaneously Matrix 0 results (first 3 values): 1.04954e-06 0.0099"
deepseek,multiplication,decoding,sample3.cpp,YES,YES,"Initial level: 3 After multiply+rescale, level: 2 After mod switch, level: 1 After second multiply+rescale, level: 0 Fin"
deepseek,multiplication,decoding,sample4.cpp,YES,YES,"Thread 0 prepared data Thread 1 prepared data Thread 2 prepared data Thread 3 prepared data Thread 0 results (first 3 va"
deepseek,multiplication,decoding,sample5.cpp,YES,YES,"Initial memory: 0 MB After context creation: 0 MB After key generation: 0 MB Processing chunk 0, memory: 0 MB Chunk 0 re"
deepseek,multiplication,prompting,sample1.cpp,YES,YES,"Performing multiplication... Input 1: 1.5, 2.7, 3.9 Input 2: 2, 3, 4 Result: 3, 8.1, 15.6 "
deepseek,multiplication,prompting,sample2.cpp,YES,YES,"Number of slots: 4096 Expected plaintext result: 2 6 12 20 Performing homomorphic multiplication... Homomorphic multipli"
deepseek,multiplication,prompting,sample3.cpp,YES,YES,"Performing multiplication... Input 1: 3.141, 2.718, 1.618 Input 2: 1.414, 1.732, 2.236 Result: 4.44137, 4.70758, 3.61785"
deepseek,multiplication,prompting,sample4.cpp,YES,YES,"Number of slots: 4096 Performing multiplication... Input vector 1: 1, 2, 3, 4 Input vector 2: 2, 3, 4, 5 Result (product"
deepseek,multiplication,prompting,sample5.cpp,YES,YES,"Expected multiplication result: 1, 3, 8, 15 Computed multiplication result: 1, 3, 8, 15 "
deepseek,multiplication,rag,sample1.cpp,YES,YES,"First element result: 5 "
deepseek,multiplication,rag,sample2.cpp,YES,YES,"CKKS initialized with 4096 slots Starting CKKS multiplication... Processing 2000 elements in chunks of 1024 Processed ch"
deepseek,multiplication,rag,sample3.cpp,YES,YES,"Starting parallel CKKS multiplication... Verification (first 5 elements): 0 * 0.1 ≈ 1.57793e-11 (expected: 0) 0.1 * 0.2 "
deepseek,multiplication,rag,sample4.cpp,YES,YES,"Initialized CKKS with 4096 slots Result components: 2808 93.4364 -7.56051e-06 -3.40169e-06 1.01996e-05 5.47484e-06 -1.13"
deepseek,multiplication,rag,sample5.cpp,YES,YES," Encryption Parameters: Scheme: CKKS Poly modulus degree: 8192 Coeff modulus size: 4 (50, 40, 40, 50 bits) Results: Plai"
deepseek,multiplication,self_improvement,sample1.cpp,YES,YES,"Result: -1105.54 Relative Error: 130.466 "
deepseek,multiplication,self_improvement,sample2.cpp,YES,YES,"Packed vs Plaintext Results: Index	Packed		Plaintext	Difference 0	0.5	0.5	1.93268e-10 1	0.561	0.561	2.38045e-09 2	0.624	"
deepseek,multiplication,self_improvement,sample3.cpp,YES,YES," ========================================= > BFV Demo with Modulus Switching ========================================= E"
deepseek,multiplication,self_improvement,sample4.cpp,YES,YES,"System supports up to 8 concurrent threads Using 8 threads for parallel operations Serial vector generation took 0 ms Pa"
deepseek,multiplication,self_improvement,sample5.cpp,YES,YES,"Packed vs Plaintext Results: Index	Packed		Plaintext	Difference 0	0.5	0.5	2.10821e-09 1	0.561	0.561	1.0726e-09 2	0.624	0"
gpt4,addition,decoding,sample1.cpp,YES,YES,"Decrypted result: 4 "
gpt4,addition,decoding,sample2.cpp,YES,YES,"Decrypted result: 4 "
gpt4,addition,decoding,sample3.cpp,YES,YES,"Sum: 13 "
gpt4,addition,decoding,sample4.cpp,YES,YES,"Sum: 13 "
gpt4,addition,decoding,sample5.cpp,NO,NO,"1 error generated."
gpt4,addition,prompting,sample1.cpp,YES,YES,"✅ SEAL context created. ✅ Encryption complete. ✅ Homomorphic addition done. ✅ Decrypted result: 6 "
gpt4,addition,prompting,sample2.cpp,YES,YES,"Decrypted result: 15 "
gpt4,addition,prompting,sample3.cpp,YES,YES,"Decrypted result: 3.3 "
gpt4,addition,prompting,sample4.cpp,YES,YES,"Decrypted result: 100 "
gpt4,addition,prompting,sample5.cpp,YES,YES,"Decrypted result: 10 "
gpt4,addition,rag,sample1.cpp,YES,YES,"Decrypted result: 4 "
gpt4,addition,rag,sample2.cpp,NO,NO,"2 warnings and 1 error generated."
gpt4,addition,rag,sample3.cpp,YES,YES,"CKKS addition: 3.3 "
gpt4,addition,rag,sample4.cpp,YES,YES,"Decoded RAG Sum: 123 "
gpt4,addition,rag,sample5.cpp,YES,YES,"Decoded RAG Sum: 123 "
gpt4,addition,self_improvement,sample1.cpp,YES,YES,"Decrypted sum: 40 60 3.64832e-09 5.35441e-10 -8.41881e-09 ... (truncated) "
gpt4,addition,self_improvement,sample2.cpp,YES,YES,"Result: 12 "
gpt4,addition,self_improvement,sample3.cpp,YES,YES,"Sum: 6 ⏱️ Time taken: 0.0380702s "
gpt4,addition,self_improvement,sample4.cpp,YES,YES,"Encrypted sum: 9.9 "
gpt4,addition,self_improvement,sample5.cpp,YES,YES,"[🔐] Initializing SEAL context... [🛠️ ] Generating keys... [📦] Encoding and encrypting inputs... [➕] Evaluating addition."
gpt4,convolution,decoding,sample1.cpp,YES,YES,"Decrypted convolution output: 0.5 2 -3 -1.09125e-17 5.11143e-19 1.30911e-18 -3.69414e-18 -1.31004e-17 -2.84909e-18 -6.13"
gpt4,convolution,decoding,sample2.cpp,YES,YES,"Decrypted convolution output: 0.2 1 0.9 1.03774e-18 -2.99213e-18 1.0041e-18 -3.32138e-18 -2.04461e-18 1.24905e-18 4.9353"
gpt4,convolution,decoding,sample3.cpp,YES,YES,"Averaged convolution output: 2 4 6 2.15787e-17 7.85313e-18 7.95065e-18 -3.99495e-19 -6.04518e-18 1.13532e-17 -1.00673e-1"
gpt4,convolution,decoding,sample4.cpp,YES,YES,"Filtered convolution output: -0.5 -3.14642e-10 1 -5.11046e-19 -5.13953e-18 2.98437e-18 -8.85319e-19 6.84181e-18 -2.21423"
gpt4,convolution,decoding,sample5.cpp,YES,YES,"One-hot convolution result: -2.94764e-08 10 -2.05978e-08 -2.56314e-17 -3.03595e-17 -3.6454e-17 -7.70198e-18 2.75839e-18 "
gpt4,convolution,prompting,sample1.cpp,YES,YES,"Decrypted result: 10 "
gpt4,convolution,prompting,sample2.cpp,YES,YES,"Decrypted result: 10 "
gpt4,convolution,prompting,sample3.cpp,YES,YES,"Decrypted result: 7 "
gpt4,convolution,prompting,sample4.cpp,YES,YES,"Decrypted result: 9 "
gpt4,convolution,prompting,sample5.cpp,YES,YES,"Decrypted result: 10 | Error: 1.1673e-09 "
gpt4,convolution,rag,sample1.cpp,YES,YES," Encrypted convolution result (approximate): 4 14 20 21 3.10321e-09 -1.55907e-09 -4.22222e-09 -5.08348e-09 7.15255e-09 -"
gpt4,convolution,rag,sample2.cpp,YES,YES,"Convolution result (5-point): 1.1 2 3 3.4 3.1 1.4 0.5 1.00631e-10 -2.908e-10 -2.13599e-10 -5.55987e-11 -1.30952e-09 -7.4"
gpt4,convolution,rag,sample3.cpp,YES,YES,"Result: 3.2 5.2 2.4 7.21127e-10 -8.6118e-10 1.44229e-09 -3.43349e-09 -7.80963e-09 9.00688e-10 -1.25312e-08 9.57214e-09 -"
gpt4,convolution,rag,sample4.cpp,YES,YES,"Rotated output: 2.84559e-07 1.8871e-07 -7.22701e-08 -2.80185e-09 -7.67817e-09 1.50963e-09 -8.89924e-09 6.22426e-09 8.468"
gpt4,convolution,rag,sample5.cpp,YES,YES,"Edge-detection style result: 6.24949e-07 -1.32336e-07 20 -15 1.35026e-08 -6.3858e-09 1.27521e-09 -1.37725e-10 -3.93484e-"
gpt4,convolution,self_improvement,sample1.cpp,YES,YES,"Self-improvement convolution result: 3.3 6.3 5.7 1.8 3.68865e-09 2.35219e-09 -3.24492e-09 -2.68733e-09 -1.33449e-09 2.25"
gpt4,convolution,self_improvement,sample2.cpp,YES,YES,"Smoothed output: 1 1.5 1 0.25 -2.2124e-09 -1.55945e-09 -3.43246e-09 -1.25003e-09 2.57234e-10 -1.53338e-09 9.56021e-10 7."
gpt4,convolution,self_improvement,sample3.cpp,YES,YES,"Normalized convolution output: 4 6 4 1 -1.05372e-09 3.64149e-09 -1.40439e-09 8.12775e-09 -9.88478e-11 7.76809e-10 -3.263"
gpt4,convolution,self_improvement,sample4.cpp,YES,YES,"Identity (center-only) output: 4 8 12 1.75208e-09 -3.38975e-10 -1.06102e-09 7.61994e-10 -5.60376e-10 7.60898e-10 3.13579"
gpt4,convolution,self_improvement,sample5.cpp,YES,YES,"Cached rotation output: 5 8.6 4.7 2.2 1.50354e-10 -6.45988e-09 -2.59583e-10 3.5214e-09 -1.58287e-10 -2.58803e-09 7.03569"
gpt4,dot_product,decoding,sample1.cpp,YES,YES,"/ | Encryption parameters : | scheme: CKKS | poly_modulus_degree: 8192 | coeff_modulus size: 200 bits \ First 3x3 Dot Pr"
gpt4,dot_product,decoding,sample2.cpp,YES,YES,"Encryption parameters: Scheme: CKKS Poly modulus degree: 8192 Coeff modulus size: 200 bits Variant 1 - First 3x3 Dot Pro"
gpt4,dot_product,decoding,sample3.cpp,YES,YES,"Encryption parameters: Scheme: CKKS Poly modulus degree: 8192 Coeff modulus size: 200 bits Variant 2 - First 3x3 Dot Pro"
gpt4,dot_product,decoding,sample4.cpp,YES,YES,"Encryption parameters: Scheme: CKKS Poly modulus degree: 8192 Coeff modulus size: 200 bits Variant 3 - First 3x3 Dot Pro"
gpt4,dot_product,decoding,sample5.cpp,YES,YES,"Encryption parameters: Scheme: CKKS Poly modulus degree: 8192 Coeff modulus size: 200 bits Variant 4 - First 3x3 Dot Pro"
gpt4,dot_product,prompting,sample1.cpp,YES,YES,"Encrypted dot product (approximate): 77 "
gpt4,dot_product,prompting,sample2.cpp,YES,YES,"Dot product (approximate): 120 "
gpt4,dot_product,prompting,sample3.cpp,YES,YES,"Dot product (approximate): 27.5 "
gpt4,dot_product,prompting,sample4.cpp,YES,NO,"libc++abi: terminating due to uncaught exception of type std::invalid_argument: encrypted1 and encrypted2 parameter mismatch"
gpt4,dot_product,prompting,sample5.cpp,YES,YES,"Dot product (approximate): 70 "
gpt4,dot_product,rag,sample1.cpp,YES,YES," 🔢 Homomorphic Dot Product (approx): 6.85 "
gpt4,dot_product,rag,sample2.cpp,YES,YES,"Dot product (enc query × plain doc): 2.59 "
gpt4,dot_product,rag,sample3.cpp,YES,NO,"libc++abi: terminating due to uncaught exception of type std::invalid_argument: encrypted1 and encrypted2 parameter mismatch"
gpt4,dot_product,rag,sample4.cpp,YES,YES,"Chunked dot product result: 1.37 "
gpt4,dot_product,rag,sample5.cpp,YES,YES,"Dot product (add_many): 2.56 "
gpt4,dot_product,self_improvement,sample1.cpp,YES,YES,"Dot product (v1 • v2): 11.86 "
gpt4,dot_product,self_improvement,sample2.cpp,YES,YES,"Dot product (enc • plain): 5 "
gpt4,dot_product,self_improvement,sample3.cpp,YES,NO,"libc++abi: terminating due to uncaught exception of type std::invalid_argument: encrypted1 and encrypted2 parameter mismatch"
gpt4,dot_product,self_improvement,sample4.cpp,YES,YES,"Dot product (add_many): 7 "
gpt4,dot_product,self_improvement,sample5.cpp,YES,YES,"Approximate dot product result: 10.61 "
gpt4,matrix_multiplication,decoding,sample1.cpp,YES,YES,"CKKS slot count: 4096 Result matrix (approximate): [ 5, 6 ] [ 15, 18 ] "
gpt4,matrix_multiplication,decoding,sample2.cpp,YES,YES,"Matrix A: [ 0.905884 0.997836 0.31729 0.204504 ] [ 0.58855 0.484625 0.342682 0.598771 ] Matrix B: [ 0.597363 0.264836 0."
gpt4,matrix_multiplication,decoding,sample3.cpp,NO,NO,"9 errors generated."
gpt4,matrix_multiplication,decoding,sample4.cpp,YES,YES,"Encryption parameters: Poly modulus degree: 8192 Coeff moduli size: 60 40 40 60 Result Matrix (approximate values): 5	6	"
gpt4,matrix_multiplication,decoding,sample5.cpp,YES,YES,"Encryption parameters: Poly modulus degree: 8192 Coeff moduli bit sizes: 60 40 40 60 Decrypted result matrix C: 19 22 43"
gpt4,matrix_multiplication,prompting,sample1.cpp,YES,YES,"Partial Homomorphic Matrix Multiplication Result (element-wise): 5 12 21 32 -1.51806e-09 -2.30455e-10 2.12024e-11 1.4026"
gpt4,matrix_multiplication,prompting,sample2.cpp,YES,YES,"Matrix C = A x B: 19 22 43 50 "
gpt4,matrix_multiplication,prompting,sample3.cpp,YES,YES,"Homomorphic Dot Product with Relinearization: 7.99877 15.0001 -0.000487633 0.000298308 -0.000921124 0.000584526 -3.17732"
gpt4,matrix_multiplication,prompting,sample4.cpp,YES,YES,"SIMD-style element-wise multiplication result: 5 12 21 32 -7.06542e-08 -1.09307e-07 5.94858e-10 -7.00111e-09 -2.09595e-0"
gpt4,matrix_multiplication,prompting,sample5.cpp,YES,YES,"Result Matrix C = A x B: 19 22 43 50 "
gpt4,matrix_multiplication,rag,sample1.cpp,YES,YES,"Decrypted result (element-wise product): 5 12 21 32 4.73072e-10 -1.67815e-09 -9.16338e-10 -1.72946e-09 -4.2459e-10 -7.15"
gpt4,matrix_multiplication,rag,sample2.cpp,NO,NO,"4 errors generated."
gpt4,matrix_multiplication,rag,sample3.cpp,YES,YES,"Result (element-wise multiply): 5 12 21 32 -1.81299e-09 -1.51443e-09 -1.24896e-09 1.05025e-09 -3.76876e-10 2.70297e-12 -"
gpt4,matrix_multiplication,rag,sample4.cpp,YES,YES,"Homomorphic result (approx): 3 "
gpt4,matrix_multiplication,rag,sample5.cpp,NO,NO,"5 errors generated."
gpt4,matrix_multiplication,self_improvement,sample1.cpp,YES,YES,"Decrypted result (approx): 6.05 14.52 25.41 38.72 -3.48789e-10 -7.43726e-11 7.06609e-10 1.33688e-11 2.30946e-10 -7.00169"
gpt4,matrix_multiplication,self_improvement,sample2.cpp,YES,YES,"9 8 7 36 32 28 63 56 49 "
gpt4,matrix_multiplication,self_improvement,sample3.cpp,YES,YES,"Decrypted matrix product (flat): 9 16 21 24 25 24 21 16 9 9.84192e-10 4.03105e-11 -2.72339e-10 -3.01834e-11 -6.85346e-10"
gpt4,matrix_multiplication,self_improvement,sample4.cpp,YES,YES," "
gpt4,matrix_multiplication,self_improvement,sample5.cpp,YES,YES,"9 8 7 36 32 28 63 56 49 "
gpt4,multiplication,decoding,sample1.cpp,YES,YES,"CKKS context created. Slots available: 4096 Original matrix: 1	2	3	4	5	6	7	8	9	10	 11	12	13	14	15	16	17	18	19	20	 21	22	"
gpt4,multiplication,decoding,sample2.cpp,YES,YES," Original Input: 3.1415 2.7182 -1.4142 0.5772 Decoded Result: 3.14150 2.71820 -1.41420 0.57720 0.00000 0.00000 0.00000 -"
gpt4,multiplication,decoding,sample3.cpp,YES,YES," Decrypted Result (First 10 values): 1 1 1 1 1 1 1 1 1 1 "
gpt4,multiplication,decoding,sample4.cpp,YES,YES,"Convolution Result (8x8): -4.47035e-08	6.70552e-08	-4.47035e-08	7.45058e-09	8.94069e-08	-1.15484e-07	1.86265e-07	3.72529"
gpt4,multiplication,decoding,sample5.cpp,YES,YES,"Parameter validation: Passed Encrypted element-wise multiplication result (first 10 elements): 0.111111 0.222222 0.33333"
gpt4,multiplication,prompting,sample1.cpp,YES,YES,"Result after multiplication: 4.84 12.1 21.78 -2.584e-10 -2.74931e-10 -8.12499e-10 4.2247e-10 1.29522e-09 6.42863e-10 3.3"
